service_radius,user_num,semantic_ratio,sum_SemCom,duration,alloc_func
0.05,30,0.01,0.03806533277428353,0.0027713775634765625,avg
0.05,30,0.02,0.037207559998185126,0.0026547908782958984,avg
0.05,30,0.03,0.03736139521013894,0.0026526451110839844,avg
0.05,30,0.04,0.15228311430469885,0.0026366710662841797,avg
0.05,30,0.05,0.15228569444018947,0.0025963783264160156,avg
0.05,30,0.060000000000000005,0.15270844852918902,0.002622842788696289,avg
0.05,30,0.07,0.2676243113985833,0.0025877952575683594,avg
0.05,30,0.08,0.26734702094499857,0.002582073211669922,avg
0.05,30,0.09,0.2674214170149456,0.0025899410247802734,avg
0.05,30,0.09999999999999999,0.26766031120607525,0.00258636474609375,avg
0.05,30,0.10999999999999999,0.38224237825404284,0.002540111541748047,avg
0.05,30,0.11999999999999998,0.38288317210802564,0.002541065216064453,avg
0.05,30,0.12999999999999998,0.3820488351342771,0.002523660659790039,avg
0.05,30,0.13999999999999999,0.49722969077639756,0.002470731735229492,avg
0.05,30,0.15,0.4973933192073848,0.0024785995483398438,avg
0.05,30,0.16,0.4975588109129698,0.0024683475494384766,avg
0.05,30,0.17,0.6120508124154351,0.002436399459838867,avg
0.05,30,0.18000000000000002,0.612620482425282,0.002424955368041992,avg
0.05,30,0.19000000000000003,0.6120590385287104,0.002424478530883789,avg
0.05,30,0.20000000000000004,0.7271279937291666,0.0023856163024902344,avg
0.05,30,0.21000000000000005,0.7269965776243373,0.002386808395385742,avg
0.05,30,0.22000000000000006,0.7276799784593498,0.0023856163024902344,avg
0.05,30,0.23000000000000007,0.7267011624571704,0.0023834705352783203,avg
0.05,30,0.24000000000000007,0.8419919618165522,0.0023369789123535156,avg
0.05,30,0.25000000000000006,0.841846131842055,0.0023488998413085938,avg
0.05,30,0.26000000000000006,0.841746911395006,0.002348661422729492,avg
0.05,30,0.2700000000000001,0.9571295358918999,0.0023283958435058594,avg
0.05,30,0.2800000000000001,0.9572245668137618,0.0023193359375,avg
0.05,30,0.2900000000000001,0.9571391669377158,0.0023026466369628906,avg
0.05,30,0.3000000000000001,1.0719643240963461,0.002263784408569336,avg
0.05,30,0.3100000000000001,1.071891953436142,0.0022580623626708984,avg
0.05,30,0.3200000000000001,1.0716263728600182,0.0022678375244140625,avg
0.05,30,0.3300000000000001,1.0716716825827477,0.002260446548461914,avg
0.05,30,0.34000000000000014,1.1883222852576802,0.002228260040283203,avg
0.05,30,0.35000000000000014,1.1863680197060074,0.002231121063232422,avg
0.05,30,0.36000000000000015,1.1863818143598874,0.0022194385528564453,avg
0.05,30,0.37000000000000016,1.3010147430655392,0.0021822452545166016,avg
0.05,30,0.38000000000000017,1.3014654764411422,0.0021677017211914062,avg
0.05,30,0.3900000000000002,1.3010623063460953,0.002203702926635742,avg
0.05,30,0.4000000000000002,1.4163484759603928,0.0021250247955322266,avg
0.05,30,0.4100000000000002,1.4162940995017537,0.002138376235961914,avg
